Time,Total documents in group,Topic,Fractional documents in topic in group
100,2,Topic 00,0.0
100,2,Topic 01,0.04
100,2,Topic 02,0.0
100,2,Topic 03,0.16
100,2,Topic 04,0.0
100,2,Topic 05,0.0
100,2,Topic 06,0.06666666666666667
100,2,Topic 07,0.0
100,2,Topic 08,0.22
100,2,Topic 09,0.03666666666666667
100,2,Topic 10,0.0
100,2,Topic 11,0.0
100,2,Topic 12,0.0
100,2,Topic 13,0.09999999999999999
100,2,Topic 14,0.2
100,2,Topic 15,0.0
100,2,Topic 16,0.25
100,2,Topic 17,0.18
100,2,Topic 18,0.04
100,2,Topic 19,0.15
100,2,Topic 20,0.0
100,2,Topic 21,0.33999999999999997
100,2,Topic 22,0.0
100,2,Topic 23,0.0
100,2,Topic 24,0.16666666666666666
100,2,Topic 25,0.0
100,2,Topic 26,0.0
100,2,Topic 27,0.0
100,2,Topic 28,0.05
100,2,Topic 29,0.0
101,1,Topic 00,0.08
101,1,Topic 01,0.08
101,1,Topic 02,0.0
101,1,Topic 03,0.0
101,1,Topic 04,0.0
101,1,Topic 05,0.0
101,1,Topic 06,0.0
101,1,Topic 07,0.02
101,1,Topic 08,0.0
101,1,Topic 09,0.0
101,1,Topic 10,0.0
101,1,Topic 11,0.0
101,1,Topic 12,0.0
101,1,Topic 13,0.0
101,1,Topic 14,0.0
101,1,Topic 15,0.2
101,1,Topic 16,0.0
101,1,Topic 17,0.42000000000000004
101,1,Topic 18,0.0
101,1,Topic 19,0.0
101,1,Topic 20,0.0
101,1,Topic 21,0.2
101,1,Topic 22,0.0
101,1,Topic 23,0.0
101,1,Topic 24,0.0
101,1,Topic 25,0.0
101,1,Topic 26,0.0
101,1,Topic 27,0.0
101,1,Topic 28,0.0
101,1,Topic 29,0.0
102,1,Topic 00,0.0
102,1,Topic 01,0.0
102,1,Topic 02,0.0
102,1,Topic 03,0.0
102,1,Topic 04,0.0
102,1,Topic 05,0.1285714285714286
102,1,Topic 06,0.0
102,1,Topic 07,0.0
102,1,Topic 08,0.1285714285714286
102,1,Topic 09,0.0
102,1,Topic 10,0.0
102,1,Topic 11,0.0
102,1,Topic 12,0.14285714285714285
102,1,Topic 13,0.0
102,1,Topic 14,0.14285714285714285
102,1,Topic 15,0.0
102,1,Topic 16,0.0
102,1,Topic 17,0.24285714285714283
102,1,Topic 18,0.0
102,1,Topic 19,0.0
102,1,Topic 20,0.0
102,1,Topic 21,0.14285714285714285
102,1,Topic 22,0.05714285714285715
102,1,Topic 23,0.0
102,1,Topic 24,0.0
102,1,Topic 25,0.0
102,1,Topic 26,0.0
102,1,Topic 27,0.014285714285714287
102,1,Topic 28,0.0
102,1,Topic 29,0.0
103,2,Topic 00,0.0
103,2,Topic 01,0.0
